,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daily Product Sales Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For Week 202611    22-Feb-2026 to 28-Feb-2026
Suppliers: ALL
Departments: ALL
SubDepartments: ALL
Branches: PREMIER
Events: ALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DAIRRYLEA CHICKEN,,,,,,,,,,,6,,,,12,,,4,,6,,,10,,6,,,,6,,,,,50,,,,82.50,,,,72.500,,,10.00,,,-429,,,0,,12.12,,
,,,,,,,,GRAHAMS SEMI SKIMMED,,,,,,,,2 litre,,,4,,,,11,,,1,,8,,,6,,8,,,,8,,,,,46,,,,84.70,,,,57.500,,,27.20,,,-28770,,,0,,32.11,,
,,,,,,,,REDBULL 355ML,,,,,,,,,,,0,,,,8,,,7,,9,,,7,,10,,,,3,,,,,44,,,,96.80,,,,88.000,,,8.80,,,-157,,,0,,9.09,,
,,,,,,,,EURO SHOPPER SF ENERGY,,,,,,,,,,,8,,,,0,,,9,,7,,,1,,0,,,,8,,,,,33,,,,16.50,,,,9.900,,,6.60,,,-647,,,0,,40.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KOKA NOODLES CURRY 70G,,,,,,,,,,,0,,,,5,,,6,,3,,,5,,9,,,,0,,,,,28,,,,38.92,,,,23.320,,,15.60,,,-8326,,,0,,40.07,,
,,,,,,,,IRN BRU 2L,,,,,,,,,,,4,,,,8,,,2,,6,,,2,,2,,,,1,,,,,25,,,,47.25,,,,42.250,,,5.00,,,-1000,,,0,,10.58,,
,,,,,,,,LUCOZADE ENERGY ORANGE,,,,,,,,500ML,,,2,,,,1,,,7,,1,,,6,,6,,,,2,,,,,25,,,,37.50,,,,32.500,,,5.00,,,-1803,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER PIPELINE PUNCH,,,,,,,,,,,2,,,,2,,,3,,3,,,10,,3,,,,1,,,,,24,,,,42.00,,,,37.200,,,4.80,,,-1373,,,0,,11.43,,
,,,,,,,,KINDER JOY EGG,,,,,,,,,,,1,,,,3,,,0,,1,,,1,,9,,,,6,,,,,21,,,,32.83,,,,19.740,,,13.09,,,-1066,,,0,,39.87,,
,,,,,,,,COCA COLA 1.75,,,,,,,,,,,1,,,,3,,,2,,5,,,5,,1,,,,4,,,,,21,,,,58.59,,,,54.390,,,4.20,,,-886,,,0,,7.17,,
,,,,,,,,REDBULL WHITE PEACH,,,,,,,,,,,1,,,,2,,,4,,5,,,3,,5,,,,1,,,,,21,,,,34.65,,,,30.450,,,4.20,,,-735,,,0,,12.12,,
,,,,,,,,PEPSI MAX 500ML,,,,,,,,,,,1,,,,4,,,5,,3,,,1,,6,,,,0,,,,,20,,,,27.80,,,,23.800,,,4.00,,,-313,,,0,,14.39,,
,,,,,,,,MONSTER ENERGY MANGO,,,,,,,,,,,0,,,,7,,,2,,2,,,1,,7,,,,0,,,,,19,,,,33.25,,,,27.550,,,5.70,,,-1652,,,0,,17.14,,
,,,,,,,,KOKA NOODLES CHICKEN 70G,,,,,,,,,,,2,,,,4,,,3,,0,,,1,,4,,,,3,,,,,17,,,,23.63,,,,18.410,,,5.22,,,-7106,,,0,,22.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
