,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daily Product Sales Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For Week 202612    01-Mar-2026 to 07-Mar-2026
Suppliers: ALL
Departments: ALL
SubDepartments: ALL
Branches: PREMIER
Events: ALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL 355ML,,,,,,,,,,,7,,,,3,,,12,,4,,,4,,9,,,,7,,,,,46,,,,101.20,,,,92.000,,,9.20,,,-157,,,0,,9.09,,
,,,,,,,,KINDER JOY EGG,,,,,,,,,,,6,,,,6,,,4,,9,,,7,,13,,,,0,,,,,45,,,,68.83,,,,42.300,,,26.53,,,-1066,,,0,,38.54,,
,,,,,,,,GRAHAMS SEMI SKIMMED,,,,,,,,2 litre,,,7,,,,6,,,4,,6,,,4,,7,,,,5,,,,,39,,,,73.69,,,,48.750,,,24.94,,,-28770,,,0,,33.84,,
,,,,,,,,DAIRRYLEA CHICKEN,,,,,,,,,,,0,,,,12,,,1,,4,,,6,,7,,,,1,,,,,31,,,,51.15,,,,44.950,,,6.20,,,-429,,,0,,12.12,,
,,,,,,,,COCA COLA 1.75,,,,,,,,,,,0,,,,6,,,4,,3,,,1,,8,,,,7,,,,,29,,,,80.91,,,,75.110,,,5.80,,,-886,,,0,,7.17,,
,,,,,,,,RED BULL PINK EDITION,,,,,,,,,,,0,,,,2,,,6,,5,,,2,,13,,,,0,,,,,28,,,,44.80,,,,39.200,,,5.60,,,-441,,,0,,12.50,,
,,,,,,,,REDBULL WHITE PEACH,,,,,,,,,,,1,,,,2,,,6,,4,,,6,,8,,,,0,,,,,27,,,,44.55,,,,39.150,,,5.40,,,-735,,,0,,12.12,,
,,,,,,,,PEPSI MAX 500ML,,,,,,,,,,,1,,,,4,,,6,,3,,,6,,5,,,,1,,,,,26,,,,36.14,,,,30.940,,,5.20,,,-313,,,0,,14.39,,
,,,,,,,,IRN BRU EXTRA 500ML,,,,,,,,,,,4,,,,2,,,6,,0,,,7,,2,,,,2,,,,,23,,,,29.67,,,,25.070,,,4.60,,,-46,,,0,,15.50,,
,,,,,,,,KOKA NOODLES CHICKEN 70G,,,,,,,,,,,5,,,,10,,,3,,3,,,1,,1,,,,0,,,,,23,,,,31.97,,,,24.910,,,7.06,,,-7106,,,0,,22.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EURO SHOPPER SF ENERGY,,,,,,,,,,,0,,,,0,,,1,,9,,,1,,1,,,,9,,,,,21,,,,10.50,,,,6.300,,,4.20,,,-647,,,0,,40.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ENERGY ORANGE,,,,,,,,500ML,,,2,,,,2,,,5,,4,,,3,,3,,,,2,,,,,21,,,,31.50,,,,27.300,,,4.20,,,-1803,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER ENERGY MANGO,,,,,,,,,,,1,,,,3,,,3,,5,,,2,,4,,,,1,,,,,19,,,,33.25,,,,27.550,,,5.70,,,-1652,,,0,,17.14,,
,,,,,,,,KOKA NOODLES CURRY 70G,,,,,,,,,,,0,,,,3,,,3,,4,,,4,,4,,,,1,,,,,19,,,,26.41,,,,15.830,,,10.58,,,-8326,,,0,,40.07,,
,,,,,,,,IRN BRU,,,,,,,,500ml,,,1,,,,1,,,5,,2,,,0,,6,,,,3,,,,,18,,,,21.42,,,,17.820,,,3.60,,,-1145,,,0,,16.81,,
,,,,,,,,STARBURST MINIS,,,,,,,,,,,3,,,,0,,,4,,3,,,3,,0,,,,3,,,,,16,,,,16.00,,,,12.800,,,3.20,,,-469,,,0,,20.00,,
,,,,,,,,IRN BRU 2L,,,,,,,,,,,2,,,,1,,,1,,4,,,2,,3,,,,3,,,,,16,,,,30.24,,,,27.040,,,3.20,,,-1000,,,0,,10.58,,
,,,,,,,,MONSTER PIPELINE PUNCH,,,,,,,,,,,0,,,,2,,,3,,5,,,2,,1,,,,2,,,,,15,,,,26.25,,,,23.250,,,3.00,,,-1373,,,0,,11.43,,
,,,,,,,,IRN BRU SUGAR FREE 500ML,,,,,,,,,,,1,,,,1,,,3,,2,,,5,,1,,,,2,,,,,15,,,,17.85,,,,14.850,,,3.00,,,-594,,,0,,16.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FRISPS CHEESE N ONION,,,,,,,,,,,1,,,,1,,,3,,2,,,0,,2,,,,5,,,,,14,,,,18.90,,,,16.100,,,2.80,,,-259,,,0,,14.81,,
,,,,,,,,BOOST SPORT RASPBERRY & MANGO,,,,,,,,,,,0,,,,1,,,3,,4,,,1,,5,,,,0,,,,,14,,,,12.46,,,,9.660,,,2.80,,,-218,,,0,,22.47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER VIKING BERRY,,,,,,,,,,,1,,,,3,,,1,,3,,,3,,3,,,,0,,,,,14,,,,25.90,,,,23.100,,,2.80,,,-61,,,0,,10.81,,
,,,,,,,,URBAN CRUST SANDWICH,,,,,,,,,,,3,,,,0,,,3,,1,,,2,,2,,,,3,,,,,14,,,,32.06,,,,29.260,,,2.80,,,-842,,,0,,8.73,,
,,,,,,,,KP MINI CHIPS BEEF FLAVOUR,,,,,,,,,,,1,,,,1,,,0,,2,,,1,,2,,,,7,,,,,14,,,,18.90,,,,16.100,,,2.80,,,-224,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ENERGY ORIGINAL,,,,,,,,500ML,,,2,,,,2,,,4,,1,,,2,,2,,,,0,,,,,13,,,,19.50,,,,16.900,,,2.60,,,-1352,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OASIS SUMMER FRUIT,,,,,,,,,,,2,,,,2,,,2,,2,,,1,,3,,,,1,,,,,13,,,,18.20,,,,15.600,,,2.60,,,-319,,,0,,14.29,,
,,,,,,,,NIK NAKS,,,,,,,,,,,2,,,,3,,,2,,2,,,0,,2,,,,1,,,,,12,,,,16.20,,,,13.800,,,2.40,,,-262,,,0,,14.81,,
,,,,,,,,E/S ORIGINAL ENERGY,,,,,,,,,,,0,,,,12,,,0,,0,,,0,,0,,,,0,,,,,12,,,,6.00,,,,4.680,,,1.32,,,-660,,,0,,22.00,,
,,,,,,,,RIBENA 500ML,,,,,,,,,,,1,,,,3,,,1,,3,,,2,,2,,,,0,,,,,12,,,,16.20,,,,13.800,,,2.40,,,-291,,,0,,14.81,,
,,,,,,,,RB SPRING EDITON 250ML,,,,,,,,,,,1,,,,1,,,1,,3,,,3,,0,,,,3,,,,,12,,,,21.00,,,,18.600,,,2.40,,,-52,,,0,,11.43,,
,,,,,,,,DAIRYLEA  HAM,,,,,,,,,,,0,,,,0,,,3,,2,,,1,,4,,,,1,,,,,11,,,,18.15,,,,15.950,,,2.20,,,-283,,,0,,12.12,,
