,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL ZERO,,,,,,,,,,,0,,,,3,,,3,,2,,,2,,1,,,,0,,,,,11,,,,17.60,,,,15.400,,,2.20,,,-160,,,0,,12.50,,
,,,,,,,,BARR CREAM SODA,,,,,,,,500ml,,,0,,,,2,,,4,,0,,,3,,1,,,,1,,,,,11,,,,11.00,,,,8.800,,,2.20,,,-434,,,0,,20.00,,
,,,,,,,,PRINGLES SOUR CREAM,,,,,,,,,,,0,,,,2,,,1,,1,,,3,,4,,,,0,,,,,11,,,,13.75,,,,11.550,,,2.20,,,-300,,,0,,16.00,,
,,,,,,,,MCCOYS STEAK,,,,,,,,,,,6,,,,0,,,2,,1,,,0,,1,,,,1,,,,,11,,,,14.85,,,,12.650,,,2.20,,,-232,,,0,,14.81,,
,,,,,,,,TREBOR SOFTMINT,,,,,,,,44.9G,,,2,,,,0,,,3,,3,,,2,,1,,,,0,,,,,11,,,,7.59,,,,5.390,,,2.20,,,-520,,,0,,28.99,,
,,,,,,,,BARR CREAM SODA,,,,,,,,,,,1,,,,1,,,4,,0,,,2,,1,,,,2,,,,,11,,,,7.59,,,,5.390,,,2.20,,,-190,,,0,,28.99,,
,,,,,,,,IRN BRU DIET 2L,,,,,,,,,,,2,,,,3,,,1,,0,,,2,,3,,,,0,,,,,11,,,,21.89,,,,19.690,,,2.20,,,-57,,,0,,10.05,,
,,,,,,,,RUBICON STRAWBERRY KIWI,,,,,,,,,,,0,,,,2,,,4,,4,,,0,,0,,,,0,,,,,10,,,,11.90,,,,9.900,,,2.00,,,-169,,,0,,16.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NESTLE MILKYBAR,,,,,,,,,,,0,,,,5,,,1,,0,,,3,,1,,,,0,,,,,10,,,,8.90,,,,6.900,,,2.00,,,-187,,,0,,22.47,,
,,,,,,,,RUSTLERS HOTDOG,,,,,,,,,,,0,,,,2,,,3,,4,,,0,,0,,,,1,,,,,10,,,,16.00,,,,14.000,,,2.00,,,-177,,,0,,12.50,,
,,,,,,,,MONSTER ENERGY 4PK,,,,,,,,,,,1,,,,2,,,1,,3,,,0,,1,,,,2,,,,,10,,,,54.90,,,,52.900,,,2.00,,,-696,,,0,,3.64,,
,,,,,,,,BOBBY'S SNAKE WINDER BLUE RAZZ,,,,,,,,,,,5,,,,0,,,1,,0,,,0,,4,,,,0,,,,,10,,,,5.00,,,,1.000,,,4.00,,,-2007,,,0,,80.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SILVER SPOON GRANULATED SUGAR 1KG.,,,,,,,,,,,2,,,,0,,,1,,3,,,0,,1,,,,3,,,,,10,,,,13.50,,,,7.900,,,5.60,,,-3064,,,0,,41.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RUBICON BLACK CHERRY,,,,,,,,,,,0,,,,0,,,0,,2,,,1,,7,,,,0,,,,,10,,,,12.90,,,,10.900,,,2.00,,,-22,,,0,,15.50,,
,,,,,,,,HIGHLAND SPRING WATER,,,,,,,,500ml,,,1,,,,2,,,0,,1,,,2,,1,,,,3,,,,,10,,,,7.90,,,,5.900,,,2.00,,,-477,,,0,,25.32,,
,,,,,,,,IRN BRU 330ML,,,,,,,,330ML,,,1,,,,1,,,2,,4,,,0,,1,,,,0,,,,,9,,,,6.21,,,,4.410,,,1.80,,,-1166,,,0,,28.99,,
,,,,,,,,WALKERS SENSATIONS THAI SWEET CHILL,,,,,,,,,,,2,,,,2,,,0,,1,,,3,,1,,,,0,,,,,9,,,,12.15,,,,10.350,,,1.80,,,-216,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER ULTRA PARADISE,,,,,,,,,,,0,,,,1,,,1,,1,,,2,,3,,,,1,,,,,9,,,,14.85,,,,13.050,,,1.80,,,-158,,,0,,12.12,,
,,,,,,,,BOBBYS BBQ SNAX,,,,,,,,,,,0,,,,1,,,2,,3,,,1,,2,,,,0,,,,,9,,,,6.21,,,,4.410,,,1.80,,,-39,,,0,,28.99,,
,,,,,,,,KINDER CARD,,,,,,,,,,,2,,,,1,,,0,,1,,,2,,2,,,,1,,,,,9,,,,5.85,,,,4.050,,,1.80,,,-540,,,0,,30.77,,
,,,,,,,,RUSTLERS BBQ RIB,,,,,,,,,,,0,,,,0,,,0,,3,,,2,,2,,,,1,,,,,8,,,,20.00,,,,18.400,,,1.60,,,-172,,,0,,8.00,,
,,,,,,,,SQUASHIES CHERRY & APPLE.,,,,,,,,,,,0,,,,2,,,1,,1,,,2,,2,,,,0,,,,,8,,,,9.20,,,,6.000,,,3.20,,,-794,,,0,,34.78,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER THE DOCTOR,,,,,,,,,,,0,,,,1,,,2,,0,,,1,,3,,,,1,,,,,8,,,,14.00,,,,12.400,,,1.60,,,-394,,,0,,11.43,,
,,,,,,,,MONSTER ULTRA ROSE,,,,,,,,,,,0,,,,5,,,0,,0,,,1,,0,,,,2,,,,,8,,,,13.20,,,,11.600,,,1.60,,,-481,,,0,,12.12,,
,,,,,,,,DISCOS CHEESE,,,,,,,,,,,0,,,,0,,,6,,0,,,2,,0,,,,0,,,,,8,,,,4.40,,,,2.800,,,1.60,,,-289,,,0,,36.36,,
,,,,,,,,WALKERS SQUARES C & O,,,,,,,,,,,0,,,,1,,,4,,1,,,1,,1,,,,0,,,,,8,,,,10.80,,,,8.400,,,2.40,,,-235,,,0,,22.22,,
,,,,,,,,CAPRI-SUN ORANGE,,,,,,,,,,,2,,,,0,,,2,,2,,,1,,1,,,,0,,,,,8,,,,9.52,,,,7.920,,,1.60,,,-1202,,,0,,16.81,,
,,,,,,,,BOBBYS SNAKE WINDER STRAWBERRY,,,,,,,,,,,0,,,,2,,,1,,0,,,5,,0,,,,0,,,,,8,,,,4.00,,,,1.520,,,2.48,,,-2611,,,0,,62.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER ULTRA STRAWBERRY DREAMS,,,,,,,,,,,0,,,,3,,,2,,0,,,1,,2,,,,0,,,,,8,,,,13.20,,,,11.600,,,1.60,,,-1055,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IRN BRU 12PK CAN,,,,,,,,,,,2,,,,4,,,1,,0,,,0,,1,,,,0,,,,,8,,,,40.00,,,,38.400,,,1.60,,,-865,,,0,,4.00,,
,,,,,,,,WALKERS QUAVERS CHEESE,,,,,,,,,,,0,,,,2,,,0,,1,,,3,,1,,,,1,,,,,8,,,,10.80,,,,9.200,,,1.60,,,-242,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ES MIXED FREE RANGE EGGS 15PK,,,,,,,,,,,0,,,,0,,,1,,1,,,1,,4,,,,0,,,,,7,,,,27.65,,,,18.620,,,9.03,,,-672,,,0,,32.66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL WATERMELON,,,,,,,,,,,0,,,,1,,,0,,1,,,1,,3,,,,1,,,,,7,,,,12.25,,,,10.850,,,1.40,,,-12,,,0,,11.43,,
,,,,,,,,DIET COKE 8PK,,,,,,,,,,,3,,,,2,,,0,,0,,,0,,2,,,,0,,,,,7,,,,31.50,,,,30.100,,,1.40,,,-57,,,0,,4.44,,
,,,,,,,,IRN BRU 250ML,,,,,,,,,,,0,,,,1,,,1,,2,,,1,,1,,,,1,,,,,7,,,,4.83,,,,3.430,,,1.40,,,-31,,,0,,28.99,,
,,,,,,,,VOLVIC STRAWBERRY SUGAR FREE,,,,,,,,,,,0,,,,0,,,0,,1,,,1,,5,,,,0,,,,,7,,,,7.00,,,,5.530,,,1.47,,,-608,,,0,,21.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LOCAL LIVING VEGETABLE OIL 1 LITRE,,,,,,,,,,,0,,,,2,,,4,,0,,,0,,0,,,,1,,,,,7,,,,16.03,,,,14.630,,,1.40,,,-232,,,0,,8.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TANGO BONBONS,,,,,,,,,,,1,,,,0,,,0,,3,,,1,,1,,,,1,,,,,7,,,,9.45,,,,5.600,,,3.85,,,-541,,,0,,40.74,,
,,,,,,,,FANTA ORANGE 500ML,,,,,,,,,,,0,,,,2,,,0,,0,,,4,,1,,,,0,,,,,7,,,,9.80,,,,8.400,,,1.40,,,-151,,,0,,14.29,,
,,,,,,,,MCCOYS SALT AND VINEGAR,,,,,,,,,,,0,,,,0,,,3,,0,,,0,,4,,,,0,,,,,7,,,,9.45,,,,8.050,,,1.40,,,-208,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS SALT & VINEGAR TWIRLS,,,,,,,,,,,2,,,,0,,,1,,0,,,2,,2,,,,0,,,,,7,,,,4.72,,,,4.550,,,0.17,,,-145,,,0,,3.60,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WALKERS READY SALTED,,,,,,,,,,,0,,,,1,,,0,,1,,,1,,3,,,,1,,,,,7,,,,9.45,,,,8.050,,,1.40,,,-132,,,0,,14.81,,
,,,,,,,,BOBBYS GARLIC BREAD SNAX,,,,,,,,,,,0,,,,1,,,0,,5,,,0,,1,,,,0,,,,,7,,,,8.75,,,,7.350,,,1.40,,,-12,,,0,,16.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL BLUE EDITION,,,,,,,,,,,2,,,,2,,,2,,1,,,0,,0,,,,0,,,,,7,,,,11.55,,,,10.150,,,1.40,,,-109,,,0,,12.12,,
,,,,,,,,DELAMERE COOKIES,,,,,,,,,,,0,,,,6,,,0,,0,,,0,,0,,,,0,,,,,6,,,,8.34,,,,7.140,,,1.20,,,-98,,,0,,14.39,,
,,,,,,,,MONSTER PACIFIC PUNCH,,,,,,,,,,,1,,,,1,,,0,,3,,,0,,1,,,,0,,,,,6,,,,10.50,,,,9.300,,,1.20,,,-472,,,0,,11.43,,
,,,,,,,,LUCOZADE ENERGY CARIBBEAN CRUSH,,,,,,,,500ML,,,0,,,,0,,,2,,2,,,0,,2,,,,0,,,,,6,,,,9.00,,,,7.800,,,1.20,,,-207,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DISCOS PICKLED ONION,,,,,,,,,,,0,,,,2,,,2,,0,,,0,,1,,,,1,,,,,6,,,,8.10,,,,6.900,,,1.20,,,-354,,,0,,14.81,,
,,,,,,,,REDBULL APRICOT,,,,,,,,,,,2,,,,0,,,1,,1,,,0,,2,,,,0,,,,,6,,,,10.50,,,,9.300,,,1.20,,,-47,,,0,,11.43,,
,,,,,,,,BISCOLATA,,,,,,,,,,,1,,,,2,,,1,,0,,,0,,1,,,,1,,,,,6,,,,7.50,,,,6.300,,,1.20,,,-1423,,,0,,16.00,,
,,,,,,,,COCA COLA 8PK,,,,,,,,,,,0,,,,0,,,0,,2,,,1,,2,,,,1,,,,,6,,,,35.94,,,,34.740,,,1.20,,,-110,,,0,,3.34,,
,,,,,,,,GRENADE WHITE CHOCOLATE,,,,,,,,,,,2,,,,1,,,0,,2,,,1,,0,,,,0,,,,,6,,,,14.95,,,,17.100,,,-2.15,,,-40,,,0,,-14.38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HULA HOOPS S&V,,,,,,,,,,,1,,,,1,,,1,,1,,,1,,1,,,,0,,,,,6,,,,8.10,,,,6.900,,,1.20,,,-126,,,0,,14.81,,
,,,,,,,,AERO BUBBLES,,,,,,,,,,,1,,,,0,,,0,,1,,,1,,2,,,,1,,,,,6,,,,9.90,,,,8.700,,,1.20,,,-101,,,0,,12.12,,
,,,,,,,,BARR LIMEADE 330ML,,,,,,,,,,,0,,,,4,,,0,,2,,,0,,0,,,,0,,,,,6,,,,4.14,,,,2.940,,,1.20,,,-129,,,0,,28.99,,
,,,,,,,,GOLD BILLIONS,,,,,,,,,,,0,,,,0,,,0,,1,,,1,,4,,,,0,,,,,6,,,,4.74,,,,3.540,,,1.20,,,-198,,,0,,25.32,,
,,,,,,,,MONSTER ULTRA PEACHY KEEN,,,,,,,,,,,0,,,,1,,,2,,1,,,1,,0,,,,1,,,,,6,,,,9.90,,,,8.700,,,1.20,,,-173,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANDREX CLASSIC CLEAN 2PK,,,,,,,,,,,1,,,,1,,,1,,0,,,0,,1,,,,2,,,,,6,,,,10.74,,,,9.540,,,1.20,,,-510,,,0,,11.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REFRESHERS COLA,,,,,,,,,,,2,,,,0,,,0,,1,,,3,,0,,,,0,,,,,6,,,,1.20,,,,0.600,,,0.60,,,-384,,,0,,50.00,,
,,,,,,,,CHEESEY PASTA.,,,,,,,,,,,2,,,,1,,,0,,1,,,0,,1,,,,1,,,,,6,,,,10.74,,,,9.540,,,1.20,,,-906,,,0,,11.17,,
,,,,,,,,SKITTLES CRAZY SOURS.,,,,,,,,,,,3,,,,0,,,1,,1,,,0,,1,,,,0,,,,,6,,,,4.50,,,,2.940,,,1.56,,,-425,,,0,,34.67,,
,,,,,,,,FUN TIME CHOCOLATE,,,,,,,,,,,0,,,,0,,,3,,0,,,0,,0,,,,3,,,,,6,,,,2.00,,,,1.140,,,0.86,,,-121,,,0,,43.00,,
,,,,,,,,COCA COLA ZERO 500ML,,,,,,,,,,,0,,,,1,,,1,,1,,,0,,1,,,,2,,,,,6,,,,8.40,,,,7.200,,,1.20,,,-159,,,0,,14.29,,
,,,,,,,,REDBULL 473ML S/F,,,,,,,,,,,0,,,,1,,,1,,1,,,1,,0,,,,2,,,,,6,,,,15.90,,,,14.700,,,1.20,,,-28,,,0,,7.55,,
,,,,,,,,BOBBYS BEEF GRILLS,,,,,,,,,,,0,,,,3,,,2,,1,,,0,,0,,,,0,,,,,6,,,,4.14,,,,2.940,,,1.20,,,-16,,,0,,28.99,,
,,,,,,,,WARBURTONS PANCAKES,,,,,,,,,,,2,,,,1,,,1,,1,,,0,,0,,,,1,,,,,6,,,,8.34,,,,6.540,,,1.80,,,-288,,,0,,21.58,,
,,,,,,,,JACK'S SPAGHETTI.,,,,,,,,,,,0,,,,0,,,2,,1,,,0,,2,,,,0,,,,,5,,,,5.95,,,,4.950,,,1.00,,,-89,,,0,,16.81,,
,,,,,,,,SQUARES CARAMEL CHOCOLATE 4PK,,,,,,,,,,,0,,,,2,,,1,,0,,,0,,1,,,,1,,,,,5,,,,11.25,,,,10.250,,,1.00,,,-158,,,0,,8.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER RIO PUNCH,,,,,,,,,,,0,,,,1,,,1,,0,,,1,,1,,,,1,,,,,5,,,,8.75,,,,7.750,,,1.00,,,-466,,,0,,11.43,,
,,,,,,,,DIET COKE 500ML,,,,,,,,,,,0,,,,0,,,2,,1,,,0,,1,,,,1,,,,,5,,,,7.00,,,,6.000,,,1.00,,,-184,,,0,,14.29,,
,,,,,,,,SKITTLES SOUR,,,,,,,,,,,0,,,,0,,,2,,1,,,0,,2,,,,0,,,,,5,,,,5.00,,,,4.000,,,1.00,,,-225,,,0,,20.00,,
,,,,,,,,VIMTO STILL,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,2,,,,1,,,,,5,,,,6.50,,,,5.500,,,1.00,,,-20,,,0,,15.38,,
,,,,,,,,BUTTERKIST SWEET,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,2,,,,1,,,,,5,,,,6.75,,,,5.750,,,1.00,,,-79,,,0,,14.81,,
,,,,,,,,WALKERS MAX PAPRIKA,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,2,,,,1,,,,,5,,,,6.75,,,,5.750,,,1.00,,,-98,,,0,,14.81,,
,,,,,,,,PEPSI 500ML,,,,,,,,,,,1,,,,1,,,0,,0,,,0,,1,,,,2,,,,,5,,,,7.25,,,,6.250,,,1.00,,,-26,,,0,,13.79,,
,,,,,,,,SAMYANG CARBO,,,,,,,,,,,3,,,,0,,,0,,0,,,0,,2,,,,0,,,,,5,,,,17.45,,,,16.450,,,1.00,,,-15,,,0,,5.73,,
,,,,,,,,VIMTO 2L,,,,,,,,,,,1,,,,0,,,0,,1,,,1,,0,,,,2,,,,,5,,,,8.45,,,,7.450,,,1.00,,,-16,,,0,,11.83,,
,,,,,,,,DR PEPPER CREAM SWIRL,,,,,,,,,,,0,,,,0,,,0,,2,,,2,,1,,,,0,,,,,5,,,,7.00,,,,6.000,,,1.00,,,-14,,,0,,14.29,,
