Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ENERGY ORANGE,,,,,,,,500ML,,,1,,,,0,,,4,,2,,,4,,5,,,,2,,,,,18,,,,27.00,,,,23.400,,,3.60,,,-1803,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RUBICON PINEAPPLE,,,,,,,,,,,0,,,,18,,,0,,0,,,0,,0,,,,0,,,,,18,,,,23.22,,,,19.620,,,3.60,,,-19,,,0,,15.50,,
,,,,,,,,MONSTER PIPELINE PUNCH,,,,,,,,,,,2,,,,4,,,1,,1,,,3,,6,,,,1,,,,,18,,,,31.50,,,,27.900,,,3.60,,,-1373,,,0,,11.43,,
,,,,,,,,ES ENERGY 500ML,,,,,,,,,,,0,,,,16,,,0,,0,,,0,,1,,,,0,,,,,17,,,,15.30,,,,11.900,,,3.40,,,-129,,,0,,22.22,,
,,,,,,,,BOBBYS SV SPIRALS,,,,,,,,,,,1,,,,2,,,3,,0,,,0,,3,,,,7,,,,,16,,,,11.04,,,,7.840,,,3.20,,,-66,,,0,,28.99,,
,,,,,,,,BISCOLATA,,,,,,,,,,,0,,,,1,,,0,,4,,,1,,8,,,,1,,,,,15,,,,18.75,,,,15.750,,,3.00,,,-1423,,,0,,16.00,,
,,,,,,,,RED BULL PINK EDITION,,,,,,,,,,,2,,,,0,,,4,,3,,,4,,0,,,,1,,,,,14,,,,22.40,,,,19.600,,,2.80,,,-441,,,0,,12.50,,
,,,,,,,,E/S ENERGY,,,,,,,,,,,0,,,,0,,,8,,3,,,1,,2,,,,0,,,,,14,,,,7.00,,,,4.200,,,2.80,,,-159,,,0,,40.00,,
,,,,,,,,MCCOYS THAI SWEET CHICKEN,,,,,,,,,,,3,,,,3,,,2,,2,,,0,,3,,,,1,,,,,14,,,,18.90,,,,16.100,,,2.80,,,-161,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FANTA ORANGE 500ML,,,,,,,,,,,0,,,,1,,,2,,4,,,3,,2,,,,2,,,,,14,,,,19.60,,,,16.800,,,2.80,,,-151,,,0,,14.29,,
,,,,,,,,IRN BRU 330ML,,,,,,,,330ML,,,0,,,,5,,,0,,3,,,2,,2,,,,2,,,,,14,,,,9.66,,,,6.860,,,2.80,,,-1166,,,0,,28.99,,
,,,,,,,,MONSTER ULTRA PARADISE,,,,,,,,,,,3,,,,1,,,1,,2,,,2,,3,,,,1,,,,,13,,,,21.45,,,,18.850,,,2.60,,,-158,,,0,,12.12,,
,,,,,,,,PRINGLES SOUR CREAM,,,,,,,,,,,1,,,,3,,,2,,1,,,4,,1,,,,1,,,,,13,,,,16.25,,,,13.650,,,2.60,,,-300,,,0,,16.00,,
,,,,,,,,MONSTER ULTRA STRAWBERRY DREAMS,,,,,,,,,,,1,,,,3,,,0,,3,,,2,,2,,,,1,,,,,12,,,,19.80,,,,17.400,,,2.40,,,-1055,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER VIKING BERRY,,,,,,,,,,,1,,,,1,,,3,,2,,,4,,1,,,,0,,,,,12,,,,22.20,,,,19.800,,,2.40,,,-61,,,0,,10.81,,
,,,,,,,,NIK NAKS,,,,,,,,,,,2,,,,1,,,2,,0,,,1,,4,,,,1,,,,,11,,,,14.85,,,,12.650,,,2.20,,,-262,,,0,,14.81,,
,,,,,,,,YAZOO CHOCOLATE,,,,,,,,,,,2,,,,2,,,4,,3,,,0,,0,,,,0,,,,,11,,,,8.28,,,,13.090,,,-4.81,,,-22,,,0,,-58.09,,
,,,,,,,,DISCOS PICKLED ONION,,,,,,,,,,,0,,,,3,,,2,,0,,,1,,2,,,,2,,,,,10,,,,13.50,,,,11.500,,,2.00,,,-354,,,0,,14.81,,
,,,,,,,,IRN BRU DIET 2L,,,,,,,,,,,2,,,,0,,,3,,1,,,2,,0,,,,2,,,,,10,,,,19.90,,,,17.900,,,2.00,,,-57,,,0,,10.05,,
,,,,,,,,REDBULL APRICOT,,,,,,,,,,,0,,,,0,,,2,,2,,,2,,3,,,,1,,,,,10,,,,17.50,,,,15.500,,,2.00,,,-47,,,0,,11.43,,
,,,,,,,,COOKED HAM,,,,,,,,,,,3,,,,0,,,0,,3,,,1,,3,,,,0,,,,,10,,,,10.00,,,,8.000,,,2.00,,,-1372,,,0,,20.00,,
,,,,,,,,MCCOYS STEAK,,,,,,,,,,,0,,,,1,,,0,,1,,,5,,2,,,,1,,,,,10,,,,13.50,,,,11.500,,,2.00,,,-232,,,0,,14.81,,
,,,,,,,,IRN BRU XTRA,,,,,,,,,,,1,,,,0,,,0,,4,,,3,,0,,,,2,,,,,10,,,,18.90,,,,16.900,,,2.00,,,-308,,,0,,10.58,,
,,,,,,,,DAIRYLEA  HAM,,,,,,,,,,,0,,,,3,,,0,,2,,,4,,1,,,,0,,,,,10,,,,16.50,,,,14.500,,,2.00,,,-283,,,0,,12.12,,
,,,,,,,,KOKA NOODLES CHICKEN 70G,,,,,,,,,,,0,,,,1,,,0,,1,,,1,,0,,,,6,,,,,9,,,,12.51,,,,9.750,,,2.76,,,-7106,,,0,,22.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRINGLES SOUR CREAM & ONION,,,,,,,,,,,0,,,,2,,,0,,0,,,2,,4,,,,1,,,,,9,,,,26.91,,,,25.110,,,1.80,,,-199,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RB SPRING EDITON 250ML,,,,,,,,,,,1,,,,0,,,1,,0,,,1,,1,,,,5,,,,,9,,,,15.75,,,,13.950,,,1.80,,,-52,,,0,,11.43,,
,,,,,,,,VIMTO STILL,,,,,,,,,,,0,,,,2,,,0,,2,,,3,,2,,,,0,,,,,9,,,,11.70,,,,9.900,,,1.80,,,-20,,,0,,15.38,,
,,,,,,,,IRN BRU EXTRA 500ML,,,,,,,,,,,0,,,,0,,,0,,1,,,3,,4,,,,1,,,,,9,,,,11.61,,,,9.810,,,1.80,,,-46,,,0,,15.50,,
,,,,,,,,RB SPRING EDITION,,,,,,,,,,,1,,,,2,,,3,,0,,,2,,0,,,,1,,,,,9,,,,25.20,,,,23.400,,,1.80,,,-34,,,0,,7.14,,
,,,,,,,,TAKIS BLUE HEAT,,,,,,,,,,,0,,,,0,,,0,,0,,,5,,3,,,,1,,,,,9,,,,11.25,,,,9.450,,,1.80,,,-14,,,0,,16.00,,
,,,,,,,,WOTSITS,,,,,,,,,,,2,,,,0,,,1,,0,,,1,,3,,,,2,,,,,9,,,,12.15,,,,10.350,,,1.80,,,-149,,,0,,14.81,,
,,,,,,,,MONSTER ENERGY 4PK,,,,,,,,,,,2,,,,0,,,1,,1,,,1,,1,,,,3,,,,,9,,,,49.41,,,,47.610,,,1.80,,,-696,,,0,,3.64,,
,,,,,,,,MONSTER MONARCH,,,,,,,,,,,0,,,,2,,,3,,2,,,1,,1,,,,0,,,,,9,,,,16.65,,,,14.850,,,1.80,,,-14,,,0,,10.81,,
,,,,,,,,REDBULL COCONUT,,,,,,,,,,,0,,,,3,,,1,,1,,,1,,3,,,,0,,,,,9,,,,15.75,,,,13.950,,,1.80,,,-13,,,0,,11.43,,
,,,,,,,,IRN BRU,,,,,,,,500ml,,,1,,,,0,,,4,,1,,,1,,2,,,,0,,,,,9,,,,10.71,,,,8.910,,,1.80,,,-1145,,,0,,16.81,,
,,,,,,,,PRINGLES SALT & VINEGAR,,,,,,,,,,,2,,,,0,,,0,,2,,,0,,0,,,,5,,,,,9,,,,26.91,,,,25.110,,,1.80,,,-354,,,0,,6.69,,
,,,,,,,,MCCOYS CHEDDAR & ONION,,,,,,,,,,,2,,,,0,,,2,,0,,,2,,2,,,,1,,,,,9,,,,12.15,,,,10.350,,,1.80,,,-167,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FRISPS CHEESE N ONION,,,,,,,,,,,0,,,,2,,,1,,3,,,1,,1,,,,0,,,,,8,,,,10.80,,,,9.200,,,1.60,,,-259,,,0,,14.81,,
,,,,,,,,RELENTLESS ENERGY ORIGIN,,,,,,,,,,,3,,,,2,,,0,,3,,,0,,0,,,,0,,,,,8,,,,8.00,,,,6.400,,,1.60,,,-1190,,,0,,20.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SQUASHIES CHERRY & APPLE.,,,,,,,,,,,0,,,,1,,,0,,0,,,2,,4,,,,1,,,,,8,,,,9.20,,,,6.000,,,3.20,,,-794,,,0,,34.78,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KINDER CARD,,,,,,,,,,,0,,,,0,,,3,,3,,,0,,2,,,,0,,,,,8,,,,5.20,,,,3.600,,,1.60,,,-540,,,0,,30.77,,
,,,,,,,,DR PEPPER CREAM SWIRL,,,,,,,,,,,1,,,,1,,,0,,0,,,2,,3,,,,1,,,,,8,,,,11.20,,,,9.600,,,1.60,,,-14,,,0,,14.29,,
,,,,,,,,URBAN CRUST SANDWICH,,,,,,,,,,,1,,,,0,,,2,,0,,,2,,2,,,,1,,,,,8,,,,18.32,,,,16.720,,,1.60,,,-842,,,0,,8.73,,
,,,,,,,,MILKYWAY 2,,,,,,,,,,,0,,,,0,,,0,,1,,,3,,3,,,,1,,,,,8,,,,7.12,,,,5.520,,,1.60,,,-10,,,0,,22.47,,
,,,,,,,,WALKERS QUAVERS CHEESE,,,,,,,,,,,2,,,,1,,,1,,0,,,0,,2,,,,2,,,,,8,,,,10.80,,,,9.200,,,1.60,,,-242,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ENERGY ORIGINAL,,,,,,,,500ML,,,0,,,,1,,,1,,0,,,1,,4,,,,1,,,,,8,,,,12.00,,,,10.400,,,1.60,,,-1352,,,0,,13.33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL ZERO,,,,,,,,,,,3,,,,0,,,0,,0,,,1,,2,,,,1,,,,,7,,,,11.20,,,,9.800,,,1.40,,,-160,,,0,,12.50,,
,,,,,,,,DR PEPPER 2L,,,,,,,,,,,0,,,,1,,,1,,1,,,1,,3,,,,0,,,,,7,,,,15.05,,,,13.650,,,1.40,,,-113,,,0,,9.30,,
,,,,,,,,KP MINI CHIPS BEEF FLAVOUR,,,,,,,,,,,2,,,,3,,,1,,0,,,0,,1,,,,0,,,,,7,,,,9.45,,,,8.050,,,1.40,,,-224,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REDBULL PURPLE,,,,,,,,,,,1,,,,3,,,0,,2,,,0,,0,,,,1,,,,,7,,,,11.20,,,,9.800,,,1.40,,,-41,,,0,,12.50,,
,,,,,,,,HULA HOOPS S&V,,,,,,,,,,,1,,,,0,,,2,,1,,,1,,1,,,,1,,,,,7,,,,9.45,,,,8.050,,,1.40,,,-126,,,0,,14.81,,
,,,,,,,,RIBENA 250ML,,,,,,,,,,,4,,,,0,,,0,,1,,,2,,0,,,,0,,,,,7,,,,5.25,,,,3.850,,,1.40,,,-64,,,0,,26.67,,
,,,,,,,,DR PEPPER VANILLA FLOAT,,,,,,,,355ML,,,0,,,,0,,,3,,1,,,2,,1,,,,0,,,,,7,,,,13.93,,,,11.130,,,2.80,,,-23,,,0,,20.10,,
,,,,,,,,CAPRI-SUN ORANGE,,,,,,,,,,,0,,,,0,,,0,,2,,,1,,2,,,,2,,,,,7,,,,8.33,,,,6.930,,,1.40,,,-1202,,,0,,16.81,,
,,,,,,,,REESES MINI,,,,,,,,,,,0,,,,0,,,0,,2,,,1,,3,,,,1,,,,,7,,,,9.45,,,,8.050,,,1.40,,,-295,,,0,,14.81,,
,,,,,,,,MONSTER ULTRA ROSE,,,,,,,,,,,1,,,,2,,,0,,1,,,0,,2,,,,1,,,,,7,,,,11.55,,,,10.150,,,1.40,,,-481,,,0,,12.12,,
,,,,,,,,SQUARES MARSHMALLOW 4PK,,,,,,,,,,,0,,,,1,,,1,,2,,,2,,1,,,,0,,,,,7,,,,15.75,,,,14.350,,,1.40,,,-226,,,0,,8.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
