Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KP DRY ROASTED,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-52,,,0,,14.81,,
,,,,,,,,CLASSIC ORIGINAL,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-26,,,0,,13.42,,
,,,,,,,,KITKAT 4 FINGER.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.89,,,,0.690,,,0.20,,,-82,,,0,,22.47,,
,,,,,,,,REDBULL TROPICAL,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-5,,,0,,11.43,,
,,,,,,,,WEBBOX BEEF CHUB ROLL.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.690,,,0.30,,,-376,,,0,,30.30,,
,,,,,,,,REGINA,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.95,,,,1.750,,,0.20,,,-1,,,0,,10.26,,
,,,,,,,,PRINGLES PHILLY CHEESESTEAK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-5,,,0,,5.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,YAZOO CHOCO 1L,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.09,,,,1.890,,,0.20,,,-12,,,0,,9.57,,
,,,,,,,,KELLOGG'S CORN FLAKES,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,3.49,,,,3.290,,,0.20,,,-2,,,0,,5.73,,
,,,,,,,,JACKS FUSILLI,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-2,,,0,,20.00,,
,,,,,,,,RUBICON ORANGE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-6,,,0,,15.50,,
,,,,,,,,CLASSIQUE ORNAGE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-3,,,0,,13.42,,
,,,,,,,,EXTRA STRONG 20 BLACK BAGS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-6,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MIRANDA WATERMELON,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.89,,,,1.080,,,0.81,,,-8,,,0,,42.70,,
,,,,,,,,BETTY CHOCOLATE CHIP COOKIE MIX,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.19,,,,1.990,,,0.20,,,-6,,,0,,9.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FRAY BENTOS MEATBALLS IN TOMATO SAU,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.65,,,,1.450,,,0.20,,,-3,,,0,,12.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,COCA COLA CHERRY ZERO SUGAR,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.29,,,,2.090,,,0.20,,,-16,,,0,,8.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CHEESEBURGER MAC N CHEESE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.080,,,0.51,,,-5,,,0,,31.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MCVITIES CARAMEL DIGESTIVES.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,2.050,,,-0.56,,,-72,,,0,,-37.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ENCONA PERI PERI SAUCE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-14,,,0,,16.81,,
,,,,,,,,BATCHELORS SMASH ORIGINAL,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-5,,,0,,10.58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,COMFORT FRESH SUNSHINY DAYS 31 WASH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.39,,,,2.190,,,0.20,,,-36,,,0,,8.37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DISCOS CHEESE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.55,,,,0.350,,,0.20,,,-289,,,0,,36.36,,
,,,,,,,,LOTUS BISCOFF,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,3.50,,,,3.300,,,0.20,,,-4,,,0,,5.71,,
,,,,,,,,KENCO RICH,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,5.85,,,,5.650,,,0.20,,,-1,,,0,,3.42,,
,,,,,,,,KRAVES,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,3.69,,,,3.490,,,0.20,,,-14,,,0,,5.42,,
,,,,,,,,ANDREX CLASSIC CLEAN 2PK,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,1.590,,,0.20,,,-510,,,0,,11.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS MUSHROOMS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.29,,,,0.950,,,0.34,,,-542,,,0,,26.36,,
,,,,,,,,MADAGASCAN VANILLA EXTRACT.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.690,,,0.30,,,-30,,,0,,15.08,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ANDREX CLASSIC CLEAN 4PK.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-401,,,0,,6.69,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BEN'S ORIGINAL BASMATI.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-45,,,0,,10.05,,
,,,,,,,,BATCHELORS CUP A SOUP CHICKEN & VEG,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-52,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BOLD LAVENDER & CAMOMILE 14 WASH,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,4.29,,,,4.090,,,0.20,,,-5,,,0,,4.66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LUCOZADE ORANGE 4PK,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,3.25,,,,3.050,,,0.20,,,-71,,,0,,6.15,,
,,,,,,,,NICKY SOFT TOUCH 4 PACK TOILET TISS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-339,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,POP TARTS HOT FUDGE SUNDAE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.00,,,,2.800,,,0.20,,,-51,,,0,,6.67,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HEINZ GOOD MAYONNAISE.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.89,,,,2.690,,,0.20,,,-26,,,0,,6.92,,
,,,,,,,,COSTA COFFEE SMOOTH MEDIUM ROAST,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,4.99,,,,3.300,,,1.69,,,-18,,,0,,33.87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HARTLEYS RASPBERRY JAM,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-18,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HELLMANN'S LIGHT MAYO,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-19,,,0,,6.69,,
,,,,,,,,MONSTER ENERGY W 4PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,4.50,,,,4.790,,,-0.29,,,-158,,,0,,-6.44,,
,,,,,,,,MR SHEEN MULTI SURFACE POLISH.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-84,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S 40 TIE HANDLE FOOD&FREEZER BAGS MEDIUM,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.79,,,,1.590,,,0.20,,,-97,,,0,,11.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,VOLVIC MANGO & PASSION S/F 500ML,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.00,,,,0.790,,,0.21,,,-419,,,0,,21.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KOKA CURRY NOODLES 5PK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,1.760,,,1.23,,,-1009,,,0,,41.20,,
,,,,,,,,GOLD STAR SILVERSKIN ONIONS,,,,,,,,270G,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.89,,,,0.790,,,1.10,,,-474,,,0,,58.20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,P/A WILD BERRIES CANDLE,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.69,,,,1.290,,,0.40,,,-83,,,0,,23.67,,
,,,,,,,,MOGU MOGU COTTON,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-4,,,0,,12.58,,
,,,,,,,,ES FAMILY TISSUES,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.89,,,,0.690,,,0.20,,,-1,,,0,,22.47,,
,,,,,,,,REDBULL WINTER,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.65,,,,1.450,,,0.20,,,-25,,,0,,12.12,,
,,,,,,,,E/S KITCHEN TOWEL,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-4,,,0,,12.58,,
,,,,,,,,KOTEX NIGHTTIME,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.89,,,,1.690,,,0.20,,,-2,,,0,,10.58,,
,,,,,,,,FUNKY SOUL PARSLEY,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-3,,,0,,12.58,,
,,,,,,,,JACK FAIRY CUPCAKES,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.55,,,,2.350,,,0.20,,,-2,,,0,,7.84,,
,,,,,,,,IRN BRU XTRA GLASS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.69,,,,1.490,,,0.20,,,-13,,,0,,11.83,,
,,,,,,,,FEBREZE WILDFLOWERS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.49,,,,3.290,,,0.20,,,-3,,,0,,5.73,,
,,,,,,,,MCCOYS BUFFALOS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-44,,,0,,14.81,,
,,,,,,,,WALKERS S&V,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-100,,,0,,14.81,,
,,,,,,,,ALBERTO BALSAM COCONUT SHAMPOO,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-13,,,0,,14.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ES LEMONADE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.40,,,,0.200,,,0.20,,,-56,,,0,,50.00,,
,,,,,,,,MIKE AND IKE LEMON,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,0.50,,,,0.300,,,0.20,,,-64,,,0,,40.00,,
,,,,,,,,NANDOS PERINAISE MILD.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,2.79,,,,2.590,,,0.20,,,-14,,,0,,7.17,,
,,,,,,,,COCA COLA CHERRY ZERO,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.40,,,,1.200,,,0.20,,,-60,,,0,,14.29,,
,,,,,,,,HEINZ SPAGHETTI,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.20,,,,2.000,,,0.20,,,-20,,,0,,9.09,,
,,,,,,,,TONYS CHOCOLATE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.49,,,,2.050,,,-0.56,,,-6,,,0,,-37.58,,
,,,,,,,,BATCHELORS GARDEN PEAS,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.29,,,,0.580,,,0.71,,,-125,,,0,,54.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WHOPPERS,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.79,,,,0.990,,,0.80,,,-75,,,0,,44.69,,
47142,,,,,,,,B/D NOODEL WOK SWEET CHILLI CHICKEN.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.79,,,,1.240,,,1.55,,,-683,,,0,,55.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66350,,,,,,,,KNORR BEEF CUBE 8.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.49,,,,1.060,,,1.43,,,-153,,,0,,57.47,,
,,,,,,,,8 PERMANENT MARKERS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.090,,,0.40,,,-42,,,0,,26.85,,
,,,,,,,,COLGATE PLAX SOFT MINT MOUTHWASH,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-113,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PERSIL NON BIO 10 WASH,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-75,,,0,,6.69,,
,,,,,,,,MACKIES TABLET,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,3.49,,,,3.290,,,0.20,,,-7,,,0,,5.73,,
,,,,,,,,MARYLAND CHUNKIES MILK & DARK CHOC,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.290,,,0.70,,,-52,,,0,,35.18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,OREO ORIGINAL.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-180,,,0,,15.50,,
,,,,,,,,JACK'S NICE BISCUITS.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,0.85,,,,0.650,,,0.20,,,-93,,,0,,23.53,,
,,,,,,,,IRN BRU XTRA 12PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,5.00,,,,4.800,,,0.20,,,-137,,,0,,4.00,,
,,,,,,,,ELBOW GREASE WUL PINK.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-82,,,0,,15.50,,
,,,,,,,,ASTONISH BATHROOM CLEANER,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-26,,,0,,13.42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS UNSMOKED BACK BACON,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.19,,,,1.990,,,0.20,,,-200,,,0,,9.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WALKERS WOTSITS SWEET & SPICY,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.35,,,,1.150,,,0.20,,,-99,,,0,,14.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NESCAFE AZERA,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,4.49,,,,4.290,,,0.20,,,-59,,,0,,4.45,,
,,,,,,,,PENGUIN 7PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.290,,,0.20,,,-34,,,0,,13.42,,
,,,,,,,,CRANBERRY & RASPBERRY,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-31,,,0,,10.05,,
,,,,,,,,ALERBTO BALSAM COCONUT CONDITIONER,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-8,,,0,,14.39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MONSTER VR ZERO,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.65,,,,1.450,,,0.20,,,-81,,,0,,12.12,,
,,,,,,,,TABLE SALT,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.05,,,,0.850,,,0.20,,,-46,,,0,,19.05,,
,,,,,,,,RAISINS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-7,,,0,,11.43,,
,,,,,,,,DAIRYLEA CHEESE SLICES,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.70,,,,1.500,,,0.20,,,-40,,,0,,11.76,,
,,,,,,,,FANTA ORANGE CAN,,,,,,,,355ML,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.99,,,,1.590,,,0.40,,,-24,,,0,,20.10,,
,,,,,,,,JACKS FRESH LINEN,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.15,,,,0.950,,,0.20,,,-6,,,0,,17.39,,
,,,,,,,,ES MAC CHEESE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.65,,,,2.450,,,0.20,,,-4,,,0,,7.55,,
,,,,,,,,KERRS RAINBOW EMPIRE BISCUITS,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.19,,,,1.990,,,0.20,,,-3,,,0,,9.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NUROFEN TABLETS.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.090,,,0.90,,,-165,,,0,,30.10,,
,,,,,,,,CHOCOLATE DESSERTS,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.39,,,,0.900,,,0.49,,,-45,,,0,,35.40,,
,,,,,,,,ELBOW GREASE WUL APPLE,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.29,,,,1.090,,,0.20,,,-97,,,0,,15.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ALEYNA GREEN PEPPERS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-6,,,0,,16.81,,
76729,,,,,,,,KO-LEE CUP NOODLE ROAST CHICKEN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.99,,,,0.670,,,0.33,,,-817,,,0,,32.83,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DORITOS BBQ,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.76,,,,2.790,,,-1.03,,,-4,,,0,,-58.52,,
,,,,,,,,MONSTER RIO 4PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,4.50,,,,4.300,,,0.20,,,-2,,,0,,4.44,,
,,,,,,,,PRINGLES PIZZA,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,3.99,,,,3.790,,,0.20,,,-2,,,0,,5.01,,
,,,,,,,,BARR CHERRYADE 2L,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.39,,,,1.190,,,0.20,,,-10,,,0,,14.39,,
,,,,,,,,HAYFEVER RELIEF WIPES.,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-14,,,0,,20.00,,
,,,,,,,,RADOX STRESS RELIEF BATH SOAK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.75,,,,1.550,,,0.20,,,-23,,,0,,11.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S SPAGHETTI.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,1.19,,,,0.990,,,0.20,,,-89,,,0,,16.81,,
,,,,,,,,SQUARES CARAMEL CHOCOLATE 4PK,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.25,,,,2.050,,,0.20,,,-158,,,0,,8.89,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK'S CLEAR HONEY.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.99,,,,2.790,,,0.20,,,-21,,,0,,6.69,,
